Авариийно-сигнальное сообщение;Сообщение БСТО::Источник;Сообщение БСТО::ИН;Сообщение БСТО::Краткое описание неисправности;Работа РУН;Сигнализация СЭИ;Сигнализация СЭИ::Мнемокадр ELEC;Ошибки;Локальная сигнализация;Локальная сигнализация:: Альтернативное название;Локальная сигнализация::Пульт ELEC;Наблюдаемые неисправности
ELEC APU GEN FAULT;EPGS;170;AGEN OV/EXCITER FIELD;24-23-00-810-848;APU GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло APU GEN — надпись ""FAULT"" горит янтарным цветом ";;Пульт ELEC;
ELEC APU GEN FAULT;EPGS;171;AGEN OV/POR NEUTRAL;24-23-00-810-849;APU GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло APU GEN — надпись ""FAULT"" горит янтарным цветом ";;Пульт ELEC;
ELEC APU GEN FAULT;EPGS;179;AGEN UF / PMG SENSE;24-23-00-810-865;APU GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло APU GEN — надпись ""FAULT"" горит янтарным цветом ";;Пульт ELEC;
ELEC APU GEN FAULT;EPGS;182;AGEN UF / SOPMG;24-23-00-810-864;APU GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло APU GEN — надпись ""FAULT"" горит янтарным цветом ";;Пульт ELEC;
ELEC APU GEN FAULT;EPGS;183;SRD CURRENT SENSE FAIL;24-23-00-810-867;APU GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло APU GEN — надпись ""FAULT"" горит янтарным цветом ";;Пульт ELEC;
ELEC APU GEN FAULT;EPGS;185;AGEN UV / POR NEUTRAL;24-23-00-810-860;APU GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло APU GEN — надпись ""FAULT"" горит янтарным цветом ";;Пульт ELEC;
ELEC APU GEN FAULT;EPGS;186;AGEN DP SENSE FAIL;24-23-00-810-869;APU GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло APU GEN — надпись ""FAULT"" горит янтарным цветом ";;Пульт ELEC;
ELEC APU GEN FAULT;EPGS;187;AGEN PH A FEEDER OPEN;24-23-00-810-876;APU GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло APU GEN — надпись ""FAULT"" горит янтарным цветом ";;Пульт ELEC;
ELEC APU GEN FAULT;EPGS;190;AGEN DP / GEN CT;24-23-00-810-870;APU GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло APU GEN — надпись ""FAULT"" горит янтарным цветом ";;Пульт ELEC;
ELEC APU GEN FAULT;EPGS;191;AGEN OC / CURRENT SENSE;24-23-00-810-873;APU GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло APU GEN — надпись ""FAULT"" горит янтарным цветом ";;Пульт ELEC;
ELEC APU GEN FAULT;EPGS;192;PHASE SEQUENCE FAULT;24-23-00-810-875;APU GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло APU GEN — надпись ""FAULT"" горит янтарным цветом ";;Пульт ELEC;
ELEC APU GEN FAULT;EPGS;403;AGEN UV / POR OPEN PHASE;24-23-00-810-861;APU GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;;;;
ELEC APU GEN FAULT;EPGS;405;APU GEN POR/PMG SENSE;24-23-00-810-836;APU GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло APU GEN — надпись ""FAULT"" горит янтарным цветом ";;Пульт ELEC;
ELEC APU GEN FAULT;EPGS;418;AGEN UV / POR SENSE;24-23-00-810-856;APU GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло APU GEN — надпись ""FAULT"" горит янтарным цветом ";;Пульт ELEC;
ELEC L GEN DRIVE FAULT;EPGS;1061;OIL OUTLET TEMP FAILED;24-20-00-810-818;L DRIVE отображается в виде прямоугольника желтого цвета;Мнемокадр ELEC;Мнемокадр ELEC –L GEN отображается в виде прямоугольника желтого цвета;"Кнопка-табло L DRIVE – надпись ""DRIVE"" светится янтарным цветом ";Кнопка-табло L DRIVE- высвечивается DRIVE желтым цветом;Пульт ELEC;
ELEC L GEN DRIVE FAULT;EPGS;1064;OIL OVER TEMP WARNING;24-20-00-810-996;L DRIVE отображается в виде прямоугольника желтого цвета;Мнемокадр ELEC;;"Кнопка-табло L DRIVE – надпись ""DRIVE"" светится янтарным цветом ";;Пульт ELEC;
ELEC L GEN DRIVE FAULT;EPGS;1071;THERMAL DISC OCCURRED;24-20-00-810-820;L DRIVE отображается в виде прямоугольника желтого цвета;Мнемокадр ELEC;;"Кнопка-табло L DRIVE – надпись ""DRIVE"" светится янтарным цветом ";Кнопка-табло L DRIVE- высвечивается DRIVE желтым цветом;Пульт ELEC;
ELEC L GEN DRIVE FAULT;EPGS;1081;LOW OIL PRESSURE;24-20-00-810-825;L DRIVE отображается в виде прямоугольника желтого цвета;Мнемокадр ELEC;1181;"Кнопка-табло L DRIVE – надпись ""DRIVE"" светится янтарным цветом ";Кнопка-табло L DRIVE- высвечивается DRIVE желтым цветом;Пульт ELEC;
ELEC L GEN DRIVE FAULT;EPGS;1160;IDG DISCONNECT SUCCESFUL;24-20-00-810-878;L DRIVE отображается в виде прямоугольника белого цвета;Мнемокадр ELEC;;"Кнопка-табло L DRIVE – надпись ""OFF"" светится белым цветом ";;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1012;K1 AUX OPEN OR CLOSED;24-20-00-810-801;L GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;Один или более автоматов защиты сети (АЗС) находятся в положении “выключено” 
ELEC L GEN FAULT;EPGS;1019;K1 DRIVER OUTPUT SHORT;24-20-00-810-804;L GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";Кнопка-табло L GEN -высвечивается надпись FAULT желтым цветом;Пульт ELEC;Один или более автоматов защиты сети (АЗС) находятся в положении “выключено” 
ELEC L GEN FAULT;EPGS;1025;GCS OR SENSE\NOT ONLINE;24-20-00-810-805;L GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";Кнопка-табло L GEN -высвечивается надпись FAULT желтым цветом;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1027;GCS FLT CLEAR\NOT ONLINE;24-20-00-810-807;L GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";Кнопка-табло L GEN -высвечивается надпись FAULT желтым цветом;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1034;LOW UNLOADED PMG VOLTS;24-20-00-810-811;L GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";Кнопка-табло L GEN -высвечивается надпись FAULT желтым цветом;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1092;POR/PMG FREQ SENSE FAIL;24-20-00-810-830;L GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";Кнопка-табло L GEN высвечивается надпись FAULT желтым цветом;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1100;OV / GCU VR FAILURE;24-20-00-810-844;(L GEN отображается в виде окружности желтого цвета c символом «~» внутри) И (Значение напряжения L GEN отображается в виде цифр желтого цвета);Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";Кнопка-табло L GEN -высвечивается надпись FAULT желтым цветом;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1102;OV / POR SENSE;24-20-00-810-841;(L GEN отображается в виде окружности желтого цвета c символом «~» внутри) И (Значение напряжения L GEN отображается в виде цифр желтого цвета);Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";Кнопка-табло L GEN -высвечивается надпись FAULT желтым цветом;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1103;UV/FDR NEUTRL/GCU GC OPN;24-20-00-810-855;L GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1104;UV / SOPMG FAULT;24-20-00-810-845;(L GEN отображается в виде окружности желтого цвета c символом «~» внутри) И (Значение напряжения L GEN отображается в виде цифр желтого цвета);Мнемокадр ELEC;24-20-00-810-843;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";Кнопка-табло L GEN -высвечивается надпись FAULT желтым цветом;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1105;UV / EXTR FLD COIL SHORT;24-20-00-810-846;(L GEN отображается в виде окружности желтого цвета c символом «~» внутри) И (Значение напряжения L GEN отображается в виде цифр желтого цвета);Мнемокадр ELEC;24-20-00-810-844;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";Кнопка-табло L GEN -высвечивается надпись FAULT желтым цветом;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1106;UV / OPEN EXCITER COIL;24-20-00-810-847;(L GEN отображается в виде окружности желтого цвета c символом «~» внутри) И (Значение напряжения L GEN отображается в виде цифр желтого цвета);Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";Кнопка-табло L GEN -высвечивается надпись FAULT желтым цветом;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1107;UV/POR SNS/FEDER GC OPEN;24-20-00-810-853;L GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1108;UV/OPEN FEEDER K1 CLOSED;24-20-00-810-849;(L GEN отображается в виде окружности желтого цвета c символом «~» внутри) И (Значение напряжения L GEN отображается в виде цифр желтого цвета);Мнемокадр ELEC;24-20-00-810-847;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";Кнопка-табло L GEN -высвечивается надпись FAULT желтым цветом;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1109;UV / GCU REGULATING LOW;24-20-00-810-848;(L GEN отображается в виде окружности желтого цвета c символом «~» внутри) И (Значение напряжения L GEN отображается в виде цифр желтого цвета);Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";Кнопка-табло L GEN -высвечивается надпись FAULT желтым цветом;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1110;OF / PMG SENSE;24-20-00-810-856;L GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1111;OF/ GCU SERVO VALVE;24-20-00-810-857;L GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1112;OF / GCU SERVO VALVE (-);24-20-00-810-858;L GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1113;OF / OVERFREQUENCY 3;24-20-00-810-859;L GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1115;UF / FREQUENCY SENSE;24-20-00-810-861;L GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1116;UF / SERVO VALVE FAULT;24-20-00-810-862;L GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1117;UF / IDG OR FADEC;24-20-00-810-867;L GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1118;UF/SERVO VALVE COIL OPEN;24-20-00-810-865;L GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1120;UV / POR SENSE GC CLOSED;24-20-00-810-850;(L GEN отображается в виде окружности желтого цвета c символом «~» внутри) И (Значение напряжения L GEN отображается в виде цифр желтого цвета);Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";Кнопка-табло L GEN -высвечивается надпись FAULT желтым цветом;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1121;SRD/EXC FLD CURENT SENSE;24-20-00-810-868;L GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1122;SRD / REAL SRD FAULT;24-20-00-810-869;L GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1130;DP / CURRENT SENSE;24-20-00-810-870;L GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1131;DP/GEN CT OR CURRENT SNS;24-20-00-810-871;L GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1133;DP / FAILED FEEDER;24-20-00-810-873;L GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1134;DP/LINE CT OR CURENT SNS;24-20-00-810-872;L GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1140;PHASE SEQUENCE FAULT;24-20-00-810-876;L GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1145;SERVO VALVE MODULATION;24-20-00-810-877;L GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1165;FAILED IDG DISCONNECT;24-20-00-810-879;L GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1170;FIRE SWITCH ACTIVE;24-20-00-810-831;L GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1190;PH A FEEDER OPEN;24-20-00-810-880;L GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1192;PH B FEEDER OPEN;24-20-00-810-881;L GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1193;PH C FEEDER OPEN;24-20-00-810-882;L GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1240;OV / EXCITER (-) SHORT;24-20-00-810-842;(L GEN отображается в виде окружности желтого цвета c символом «~» внутри) И (Значение напряжения L GEN отображается в виде цифр желтого цвета);Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";Кнопка-табло L GEN -высвечивается надпись FAULT желтым цветом;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1241;OV / OPEN POR NEUTRAL;24-20-00-810-843;(L GEN отображается в виде окружности желтого цвета c символом «~» внутри) И (Мнемокадр ELEC – Значение напряжения L GEN отображается в виде цифр желтого цвета);Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1246;UV/IDG NEUTRAL GC CLOSED;24-20-00-810-852;L GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1247;UV / POR NEURTL GC OPEN;24-20-00-810-854;L GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1248;UV/POR NEUTRAL GC CLOSD;24-20-00-810-851;(L GEN отображается в виде окружности желтого цвета c символом «~» внутри) И (Значение напряжения L GEN отображается в виде цифр желтого цвета);Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";Кнопка-табло L GEN -высвечивается надпись FAULT желтым цветом;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1249;UF/NO SERVO VALVE CURENT;24-20-00-810-866;L GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1260;UF / SOPMG FAULT;24-20-00-810-860;L GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC L GEN FAULT;EPGS;1262;UF / IDG LOW OIL PRESURE;24-20-00-810-864;L GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC L GEN OVRCURRENT;EPGS;1135;OC / CURRENT SENSE;24-20-00-810-874;Загрузка генератора левого двигателя отображается в виде цифр янтарного цвета;Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC L GEN OVRCURRENT;EPGS;1136;OC / MAIN BUS FAULT;24-20-00-810-875;Загрузка генератора левого двигателя отображается в виде цифр янтарного цвета;Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN DRIVE FAULT;EPGS;2061;OIL OUTLET TEMP FAILED;24-20-00-810-915;R DRIVE отображается в виде прямоугольника белого цвета;Мнемокадр ELEC;;"Кнопка-табло R DRIVE – надпись ""DRIVE"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN DRIVE FAULT;EPGS;2064;OIL OVER TEMP WARNING;24-20-00-810-916;R DRIVE отображается в виде прямоугольника желтого цвета;Мнемокадр ELEC;;"Кнопка-табло R DRIVE – надпись ""DRIVE"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN DRIVE FAULT;EPGS;2071;THERMAL DISC OCCURRED;24-20-00-810-917;R DRIVE отображается в виде прямоугольника желтого цвета;Мнемокадр ELEC;;"Кнопка-табло R DRIVE – надпись ""DRIVE"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN DRIVE FAULT;EPGS;2081;LOW OIL PRESSURE;24-20-00-810-922;R DRIVE отображается в виде прямоугольника желтого цвета;Мнемокадр ELEC;;"Кнопка-табло R DRIVE – надпись ""DRIVE"" светится янтарным цветом ";;Пульт ELEC;
